episode_id,season,episode_num,char_a,char_b,total_weight,scene_count
S01E05,1,5,Harvey Specter,Louis Litt,10.954451150103322,1
S01E05,1,5,Louis Litt,Trevor Evans,10.954451150103322,1
S01E05,1,5,Harvey Specter,Mike Ross,10.0,1
S01E05,1,5,Mike Ross,Trevor Evans,10.0,1
S01E05,1,5,Donna Paulsen,Louis Litt,7.745966692414834,1
S01E05,1,5,Donna Paulsen,Mike Ross,7.0710678118654755,1
S01E05,1,5,Harvey Specter,Norma,6.324555320336759,1
S01E05,1,5,Norma,Trevor Evans,6.324555320336759,1
S01E05,1,5,Louis Litt,Mike Ross,5.477225575051661,1
S01E05,1,5,Donna Paulsen,Norma,4.47213595499958,1
S01E05,1,5,Harvey Specter,Jenny Griffith,4.47213595499958,1
S01E05,1,5,Harvey Specter,Jessica Pearson,4.47213595499958,1
S01E05,1,5,Jenny Griffith,Trevor Evans,4.47213595499958,1
S01E05,1,5,Jessica Pearson,Trevor Evans,4.47213595499958,1
S01E05,1,5,Louis Litt,Norma,3.4641016151377544,1
S01E05,1,5,Donna Paulsen,Jenny Griffith,3.1622776601683795,1
S01E05,1,5,Donna Paulsen,Jessica Pearson,3.1622776601683795,1
S01E05,1,5,Mike Ross,Norma,3.1622776601683795,1
S01E05,1,5,Jenny Griffith,Louis Litt,2.449489742783178,1
S01E05,1,5,Jessica Pearson,Louis Litt,2.449489742783178,1
S01E05,1,5,Jenny Griffith,Mike Ross,2.23606797749979,1
S01E05,1,5,Jessica Pearson,Mike Ross,2.23606797749979,1
S01E05,1,5,Jenny Griffith,Norma,1.4142135623730951,1
S01E05,1,5,Jessica Pearson,Norma,1.4142135623730951,1
S01E05,1,5,Jenny Griffith,Jessica Pearson,1.0,1
S01E06,1,6,Harvey Specter,Louis Litt,13.416407864998739,1
S01E06,1,6,Harvey Specter,Rachel Zane,13.416407864998739,1
S01E06,1,6,Harvey Specter,Mike Ross,11.832159566199232,1
S01E06,1,6,Louis Litt,Rachel Zane,9.0,1
S01E06,1,6,Louis Litt,Mike Ross,7.937253933193772,1
S01E06,1,6,Mike Ross,Rachel Zane,7.937253933193772,1
S01E06,1,6,Daniel Hardman,Harvey Specter,6.324555320336759,1
S01E06,1,6,Donna Paulsen,Harvey Specter,6.324555320336759,1
S01E06,1,6,Harvey Specter,Jessica Pearson,6.324555320336759,1
S01E06,1,6,Harold Gunderson,Harvey Specter,4.47213595499958,1
S01E06,1,6,Harvey Specter,Norma,4.47213595499958,1
S01E06,1,6,Harvey Specter,Sean Cahill,4.47213595499958,1
S01E06,1,6,Daniel Hardman,Louis Litt,4.242640687119285,1
S01E06,1,6,Daniel Hardman,Rachel Zane,4.242640687119285,1
S01E06,1,6,Donna Paulsen,Louis Litt,4.242640687119285,1
S01E06,1,6,Donna Paulsen,Rachel Zane,4.242640687119285,1
S01E06,1,6,Jessica Pearson,Louis Litt,4.242640687119285,1
S01E06,1,6,Jessica Pearson,Rachel Zane,4.242640687119285,1
S01E06,1,6,Daniel Hardman,Mike Ross,3.7416573867739413,1
S01E06,1,6,Donna Paulsen,Mike Ross,3.7416573867739413,1
S01E06,1,6,Jessica Pearson,Mike Ross,3.7416573867739413,1
S01E06,1,6,Harold Gunderson,Louis Litt,3.0,1
S01E06,1,6,Harold Gunderson,Rachel Zane,3.0,1
S01E06,1,6,Louis Litt,Norma,3.0,1
S01E06,1,6,Louis Litt,Sean Cahill,3.0,1
S01E06,1,6,Norma,Rachel Zane,3.0,1
S01E06,1,6,Rachel Zane,Sean Cahill,3.0,1
S01E06,1,6,Harold Gunderson,Mike Ross,2.6457513110645907,1
S01E06,1,6,Mike Ross,Norma,2.6457513110645907,1
S01E06,1,6,Mike Ross,Sean Cahill,2.6457513110645907,1
S01E06,1,6,Daniel Hardman,Donna Paulsen,2.0,1
S01E06,1,6,Daniel Hardman,Jessica Pearson,2.0,1
S01E06,1,6,Donna Paulsen,Jessica Pearson,2.0,1
S01E06,1,6,Daniel Hardman,Harold Gunderson,1.4142135623730951,1
S01E06,1,6,Daniel Hardman,Norma,1.4142135623730951,1
S01E06,1,6,Daniel Hardman,Sean Cahill,1.4142135623730951,1
S01E06,1,6,Donna Paulsen,Harold Gunderson,1.4142135623730951,1
S01E06,1,6,Donna Paulsen,Norma,1.4142135623730951,1
S01E06,1,6,Donna Paulsen,Sean Cahill,1.4142135623730951,1
S01E06,1,6,Harold Gunderson,Jessica Pearson,1.4142135623730951,1
S01E06,1,6,Jessica Pearson,Norma,1.4142135623730951,1
S01E06,1,6,Jessica Pearson,Sean Cahill,1.4142135623730951,1
S01E06,1,6,Harold Gunderson,Norma,1.0,1
S01E06,1,6,Harold Gunderson,Sean Cahill,1.0,1
S01E06,1,6,Norma,Sean Cahill,1.0,1
S01E07,1,7,Dana Scott,Harvey Specter,13.74772708486752,1
S01E07,1,7,Harvey Specter,Kyle Durant,12.96148139681572,1
S01E07,1,7,Harvey Specter,Mike Ross,12.12435565298214,1
S01E07,1,7,Dana Scott,Kyle Durant,8.48528137423857,1
S01E07,1,7,Dana Scott,Mike Ross,7.937253933193772,1
S01E07,1,7,Harvey Specter,Jenny Griffith,7.937253933193772,1
S01E07,1,7,Kyle Durant,Mike Ross,7.483314773547883,1
S01E07,1,7,Donna Paulsen,Harvey Specter,6.48074069840786,1
S01E07,1,7,Harvey Specter,Louis Litt,6.48074069840786,1
S01E07,1,7,Harvey Specter,Rachel Zane,6.48074069840786,1
S01E07,1,7,Dana Scott,Jenny Griffith,5.196152422706632,1
S01E07,1,7,Jenny Griffith,Kyle Durant,4.898979485566356,1
S01E07,1,7,Daniel Hardman,Harvey Specter,4.58257569495584,1
S01E07,1,7,Harvey Specter,Jessica Pearson,4.58257569495584,1
S01E07,1,7,Jenny Griffith,Mike Ross,4.58257569495584,1
S01E07,1,7,Dana Scott,Donna Paulsen,4.242640687119285,1
S01E07,1,7,Dana Scott,Louis Litt,4.242640687119285,1
S01E07,1,7,Dana Scott,Rachel Zane,4.242640687119285,1
S01E07,1,7,Donna Paulsen,Kyle Durant,4.0,1
S01E07,1,7,Kyle Durant,Louis Litt,4.0,1
S01E07,1,7,Kyle Durant,Rachel Zane,4.0,1
S01E07,1,7,Donna Paulsen,Mike Ross,3.7416573867739413,1
S01E07,1,7,Louis Litt,Mike Ross,3.7416573867739413,1
S01E07,1,7,Mike Ross,Rachel Zane,3.7416573867739413,1
S01E07,1,7,Dana Scott,Daniel Hardman,3.0,1
S01E07,1,7,Dana Scott,Jessica Pearson,3.0,1
S01E07,1,7,Daniel Hardman,Kyle Durant,2.8284271247461903,1
S01E07,1,7,Jessica Pearson,Kyle Durant,2.8284271247461903,1
S01E07,1,7,Daniel Hardman,Mike Ross,2.6457513110645907,1
S01E07,1,7,Jessica Pearson,Mike Ross,2.6457513110645907,1
S01E07,1,7,Donna Paulsen,Jenny Griffith,2.449489742783178,1
S01E07,1,7,Jenny Griffith,Louis Litt,2.449489742783178,1
S01E07,1,7,Jenny Griffith,Rachel Zane,2.449489742783178,1
S01E07,1,7,Donna Paulsen,Louis Litt,2.0,1
S01E07,1,7,Donna Paulsen,Rachel Zane,2.0,1
S01E07,1,7,Louis Litt,Rachel Zane,2.0,1
S01E07,1,7,Daniel Hardman,Jenny Griffith,1.7320508075688772,1
S01E07,1,7,Jenny Griffith,Jessica Pearson,1.7320508075688772,1
S01E07,1,7,Daniel Hardman,Donna Paulsen,1.4142135623730951,1
S01E07,1,7,Daniel Hardman,Louis Litt,1.4142135623730951,1
S01E07,1,7,Daniel Hardman,Rachel Zane,1.4142135623730951,1
S01E07,1,7,Donna Paulsen,Jessica Pearson,1.4142135623730951,1
S01E07,1,7,Jessica Pearson,Louis Litt,1.4142135623730951,1
S01E07,1,7,Jessica Pearson,Rachel Zane,1.4142135623730951,1
S01E07,1,7,Daniel Hardman,Jessica Pearson,1.0,1
S01E08,1,8,Harvey Specter,Louis Litt,24.454038521274967,1
S01E08,1,8,Louis Litt,Mike Ross,12.489995996796797,1
S01E08,1,8,Harvey Specter,Mike Ross,11.74734012447073,1
S01E08,1,8,Jessica Pearson,Louis Litt,11.40175425099138,1
S01E08,1,8,Louis Litt,Robert Zane,11.40175425099138,1
S01E08,1,8,Harvey Specter,Jessica Pearson,10.723805294763608,1
S01E08,1,8,Harvey Specter,Robert Zane,10.723805294763608,1
S01E08,1,8,Donna Paulsen,Louis Litt,8.831760866327848,1
S01E08,1,8,Louis Litt,Norma,8.831760866327848,1
S01E08,1,8,Donna Paulsen,Harvey Specter,8.306623862918075,1
S01E08,1,8,Harvey Specter,Norma,8.306623862918075,1
S01E08,1,8,Daniel Hardman,Louis Litt,7.211102550927978,1
S01E08,1,8,Daniel Hardman,Harvey Specter,6.782329983125268,1
S01E08,1,8,Jessica Pearson,Mike Ross,5.477225575051661,1
S01E08,1,8,Mike Ross,Robert Zane,5.477225575051661,1
S01E08,1,8,Louis Litt,Rachel Zane,5.0990195135927845,1
S01E08,1,8,Jessica Pearson,Robert Zane,5.0,1
S01E08,1,8,Harvey Specter,Rachel Zane,4.795831523312719,1
S01E08,1,8,Donna Paulsen,Mike Ross,4.242640687119285,1
S01E08,1,8,Mike Ross,Norma,4.242640687119285,1
S01E08,1,8,Donna Paulsen,Jessica Pearson,3.872983346207417,1
S01E08,1,8,Donna Paulsen,Robert Zane,3.872983346207417,1
S01E08,1,8,Jessica Pearson,Norma,3.872983346207417,1
S01E08,1,8,Norma,Robert Zane,3.872983346207417,1
S01E08,1,8,Daniel Hardman,Mike Ross,3.4641016151377544,1
S01E08,1,8,Daniel Hardman,Jessica Pearson,3.1622776601683795,1
S01E08,1,8,Daniel Hardman,Robert Zane,3.1622776601683795,1
S01E08,1,8,Donna Paulsen,Norma,3.0,1
S01E08,1,8,Daniel Hardman,Donna Paulsen,2.449489742783178,1
S01E08,1,8,Daniel Hardman,Norma,2.449489742783178,1
S01E08,1,8,Mike Ross,Rachel Zane,2.449489742783178,1
S01E08,1,8,Jessica Pearson,Rachel Zane,2.23606797749979,1
S01E08,1,8,Rachel Zane,Robert Zane,2.23606797749979,1
S01E08,1,8,Donna Paulsen,Rachel Zane,1.7320508075688772,1
S01E08,1,8,Norma,Rachel Zane,1.7320508075688772,1
S01E08,1,8,Daniel Hardman,Rachel Zane,1.4142135623730951,1
S01E09,1,9,Louis Litt,Mike Ross,29.46183972531247,1
S01E09,1,9,Harvey Specter,Mike Ross,21.563858652847824,1
S01E09,1,9,Mike Ross,Rachel Zane,21.563858652847824,1
S01E09,1,9,Harvey Specter,Louis Litt,20.493901531919196,1
S01E09,1,9,Louis Litt,Rachel Zane,20.493901531919196,1
S01E09,1,9,Daniel Hardman,Mike Ross,16.703293088490067,1
S01E09,1,9,Daniel Hardman,Louis Litt,15.874507866387544,1
S01E09,1,9,Harvey Specter,Rachel Zane,15.0,1
S01E09,1,9,Benjamin,Mike Ross,12.449899597988733,1
S01E09,1,9,Donna Paulsen,Mike Ross,12.449899597988733,1
S01E09,1,9,Harold Gunderson,Mike Ross,12.449899597988733,1
S01E09,1,9,Jessica Pearson,Mike Ross,12.449899597988733,1
S01E09,1,9,Benjamin,Louis Litt,11.832159566199232,1
S01E09,1,9,Donna Paulsen,Louis Litt,11.832159566199232,1
S01E09,1,9,Harold Gunderson,Louis Litt,11.832159566199232,1
S01E09,1,9,Jessica Pearson,Louis Litt,11.832159566199232,1
S01E09,1,9,Daniel Hardman,Harvey Specter,11.61895003862225,1
S01E09,1,9,Daniel Hardman,Rachel Zane,11.61895003862225,1
S01E09,1,9,Benjamin,Harvey Specter,8.660254037844387,1
S01E09,1,9,Benjamin,Rachel Zane,8.660254037844387,1
S01E09,1,9,Donna Paulsen,Harvey Specter,8.660254037844387,1
S01E09,1,9,Donna Paulsen,Rachel Zane,8.660254037844387,1
S01E09,1,9,Harold Gunderson,Harvey Specter,8.660254037844387,1
S01E09,1,9,Harold Gunderson,Rachel Zane,8.660254037844387,1
S01E09,1,9,Harvey Specter,Jessica Pearson,8.660254037844387,1
S01E09,1,9,Jessica Pearson,Rachel Zane,8.660254037844387,1
S01E09,1,9,Benjamin,Daniel Hardman,6.708203932499369,1
S01E09,1,9,Daniel Hardman,Donna Paulsen,6.708203932499369,1
S01E09,1,9,Daniel Hardman,Harold Gunderson,6.708203932499369,1
S01E09,1,9,Daniel Hardman,Jessica Pearson,6.708203932499369,1
S01E09,1,9,Benjamin,Donna Paulsen,5.0,1
