episode_id,season,episode_num,dominant_character,dominant_score,top3_characters,power_shift
S05E06,5,6,Louis Litt,0.478947,Louis Litt | Harvey Specter | Mike Ross,True
S05E07,5,7,Louis Litt,0.472464,Louis Litt | Harvey Specter | Jack Soloff,False
S05E08,5,8,Harvey Specter,0.474272,Harvey Specter | Louis Litt | Mike Ross,True
S05E09,5,9,Harvey Specter,0.464641,Harvey Specter | Daniel Hardman | Louis Litt,False
S05E10,5,10,Harvey Specter,0.504878,Harvey Specter | Jessica Pearson | Daniel Hardman | Jack Soloff,False
S05E11,5,11,Harvey Specter,0.467105,Harvey Specter | Mike Ross | Jessica Pearson,False
S05E12,5,12,Donna Paulsen,0.474089,Donna Paulsen | Harvey Specter | Mike Ross,True
S05E13,5,13,Mike Ross,0.46,Mike Ross | Harvey Specter | Rachel Zane,True
S05E14,5,14,Mike Ross,0.481818,Mike Ross | Anita Gibbs | Harvey Specter,False
S05E15,5,15,Mike Ross,0.485116,Mike Ross | Harvey Specter | Louis Litt,False
S05E16,5,16,Mike Ross,0.472414,Mike Ross | Harvey Specter | Rachel Zane,False
S06E01,6,1,Louis Litt,0.499265,Louis Litt | Harvey Specter | Mike Ross,True
S06E02,6,2,Harvey Specter,0.4875,Harvey Specter | Mike Ross | Jack Soloff | Rachel Zane,True
S06E03,6,3,Harvey Specter,0.484211,Harvey Specter | Mike Ross | Donna Paulsen,False
S06E04,6,4,Mike Ross,0.507263,Mike Ross | Harvey Specter | Rachel Zane,True
S06E05,6,5,Harvey Specter,0.486719,Harvey Specter | Mike Ross | Rachel Zane,True
S06E06,6,6,Mike Ross,0.464516,Mike Ross | Sean Cahill | Harvey Specter,True
S06E07,6,7,Harvey Specter,0.473771,Harvey Specter | Louis Litt | Mike Ross,True
S06E08,6,8,Mike Ross,0.468382,Mike Ross | Harvey Specter | Louis Litt,True
S06E09,6,9,Mike Ross,0.50354,Mike Ross | Harvey Specter | Leonard Bailey,False
S06E10,6,10,Jessica Pearson,0.464671,Jessica Pearson | Louis Litt | Leonard Bailey,True
S06E11,6,11,Louis Litt,0.468965,Louis Litt | Mike Ross | Harvey Specter,True
S06E12,6,12,Harvey Specter,0.542268,Harvey Specter | Mike Ross | Donna Paulsen,True
S06E13,6,13,Louis Litt,0.45,Louis Litt | Mike Ross | Harvey Specter,True
S06E14,6,14,Mike Ross,0.470588,Mike Ross | Harvey Specter | Louis Litt,True
S06E15,6,15,Mike Ross,0.469939,Mike Ross | Louis Litt | Harvey Specter,False
S06E16,6,16,Mike Ross,0.482873,Mike Ross | Harvey Specter | Louis Litt,False
S07E01,7,1,Harvey Specter,0.474272,Harvey Specter | Louis Litt | Donna Paulsen,True
S07E02,7,2,Harvey Specter,0.49854,Harvey Specter | Louis Litt | Jessica Pearson,False
S07E03,7,3,Louis Litt,0.473585,Louis Litt | Harvey Specter | Mike Ross,True
S07E04,7,4,Harvey Specter,0.482759,Harvey Specter | Louis Litt | Mike Ross,True
S07E05,7,5,Harvey Specter,0.482192,Harvey Specter | Louis Litt | Oliver Grady,False
S07E06,7,6,Harvey Specter,0.467187,Harvey Specter | Louis Litt | Donna Paulsen,False
S07E07,7,7,Harvey Specter,0.505166,Harvey Specter | Louis Litt | Jessica Pearson,False
