episode_id,season,episode_num,topic_00,topic_01,topic_02,topic_03,topic_04,topic_05,topic_06,topic_07,topic_08,topic_09,dominant_topic,dominant_topic_label,topic_00_smooth,topic_01_smooth,topic_02_smooth,topic_03_smooth,topic_04_smooth,topic_05_smooth,topic_06_smooth,topic_07_smooth,topic_08_smooth,topic_09_smooth
S02E13,2,13,0.0001,0.0001,0.0001,0.0001,0.7571,0.2424,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7822,0.2173,0.0001,0.0001,0.0001,0.0001
S02E14,2,14,0.0001,0.0001,0.0001,0.0001,0.8023,0.1972,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7915,0.208,0.0001,0.0001,0.0001,0.0001
S02E15,2,15,0.0001,0.0001,0.0001,0.0001,0.8152,0.1843,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.8057,0.1924,0.0001,0.0014,0.0001,0.0001
S02E16,2,16,0.0001,0.0001,0.0001,0.0001,0.7997,0.1958,0.0001,0.0041,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7931,0.1919,0.0001,0.0147,0.0001,0.0001
S03E01,3,1,0.0001,0.0001,0.0001,0.0001,0.7643,0.1955,0.0001,0.0398,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7607,0.1999,0.0001,0.039,0.0001,0.0001
S03E02,3,2,0.0001,0.0001,0.0001,0.0001,0.718,0.2085,0.0001,0.0731,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.715,0.2113,0.0001,0.0733,0.0001,0.0001
S03E03,3,3,0.0001,0.0001,0.0001,0.0001,0.6627,0.23,0.0001,0.1069,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6436,0.226,0.0001,0.1299,0.0001,0.0001
S03E04,3,4,0.0001,0.0001,0.0001,0.0001,0.5502,0.2395,0.0001,0.2098,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6201,0.2355,0.0001,0.144,0.0001,0.0001
S03E05,3,5,0.0001,0.0001,0.0001,0.0001,0.6475,0.2369,0.0001,0.1152,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.641,0.2338,0.0001,0.1226,0.0001,0.0023
S03E06,3,6,0.0001,0.0001,0.0001,0.0001,0.7252,0.225,0.0001,0.0428,0.0001,0.0066,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.5885,0.2239,0.0001,0.185,0.0001,0.0023
S03E07,3,7,0.0001,0.0001,0.0001,0.0001,0.3928,0.2098,0.0001,0.3969,0.0001,0.0001,7,"Topic 7: ava, stephen, cameron",0.0001,0.0001,0.0001,0.0001,0.4763,0.2634,0.0001,0.2577,0.0001,0.0023
S03E08,3,8,0.0001,0.0001,0.0001,0.0001,0.3109,0.3554,0.0001,0.3333,0.0001,0.0001,5,"Topic 5: gonna, samantha, faye",0.0001,0.0001,0.0001,0.0001,0.4807,0.2628,0.0001,0.2561,0.0001,0.0001
S03E09,3,9,0.0001,0.0001,0.0001,0.0001,0.7383,0.2231,0.0001,0.0382,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.5659,0.2849,0.0001,0.1488,0.0001,0.0001
S03E10,3,10,0.0001,0.0001,0.0001,0.0001,0.6485,0.2761,0.0001,0.075,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7256,0.2362,0.0001,0.0378,0.0001,0.0001
S03E11,3,11,0.0001,0.0001,0.0001,0.0001,0.7901,0.2094,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7458,0.2288,0.0001,0.0251,0.0001,0.0001
S03E12,3,12,0.0001,0.0001,0.0001,0.0001,0.7987,0.2008,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.8,0.1995,0.0001,0.0001,0.0001,0.0001
S03E13,3,13,0.0001,0.0001,0.0001,0.0001,0.8113,0.1882,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.8032,0.1963,0.0001,0.0001,0.0001,0.0001
S03E14,3,14,0.0001,0.0001,0.0001,0.0001,0.7997,0.1998,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7914,0.2076,0.0001,0.0006,0.0001,0.0001
S03E15,3,15,0.0001,0.0001,0.0001,0.0001,0.7632,0.2348,0.0001,0.0015,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7271,0.2599,0.0001,0.0126,0.0001,0.0001
S03E16,3,16,0.0001,0.0001,0.0001,0.0001,0.6183,0.3451,0.0001,0.0362,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.742,0.245,0.0001,0.0126,0.0001,0.0001
S04E01,4,1,0.0001,0.0001,0.0001,0.0001,0.8445,0.1551,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7453,0.2422,0.0001,0.0121,0.0001,0.0001
S04E02,4,2,0.0001,0.0001,0.0001,0.0001,0.7731,0.2264,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7959,0.2036,0.0001,0.0001,0.0001,0.0001
S04E03,4,3,0.0001,0.0001,0.0001,0.0001,0.7701,0.2293,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7567,0.2428,0.0001,0.0001,0.0001,0.0001
S04E04,4,4,0.0001,0.0001,0.0001,0.0001,0.7268,0.2727,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7599,0.2396,0.0001,0.0001,0.0001,0.0001
S04E05,4,5,0.0001,0.0001,0.0001,0.0001,0.7828,0.2167,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7601,0.2394,0.0001,0.0001,0.0001,0.0001
S04E06,4,6,0.0001,0.0001,0.0001,0.0001,0.7708,0.2287,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7534,0.246,0.0001,0.0001,0.0001,0.0001
S04E07,4,7,0.0001,0.0001,0.0001,0.0001,0.7067,0.2927,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7235,0.2759,0.0001,0.0001,0.0001,0.0001
S04E08,4,8,0.0001,0.0001,0.0001,0.0001,0.6931,0.3063,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6994,0.3001,0.0001,0.0001,0.0001,0.0001
S04E09,4,9,0.0001,0.0001,0.0001,0.0001,0.6984,0.3012,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7067,0.2877,0.0001,0.0001,0.0001,0.0052
S04E10,4,10,0.0001,0.0001,0.0001,0.0001,0.7286,0.2555,0.0001,0.0001,0.0001,0.0155,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7322,0.2622,0.0001,0.0001,0.0001,0.0052
S04E11,4,11,0.0001,0.0001,0.0001,0.0001,0.7696,0.2299,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7682,0.2232,0.0001,0.0001,0.0001,0.0082
S04E12,4,12,0.0001,0.0001,0.0001,0.0001,0.8065,0.1842,0.0001,0.0001,0.0001,0.0089,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7928,0.2038,0.0001,0.0001,0.0001,0.003
S04E13,4,13,0.0001,0.0001,0.0001,0.0001,0.8022,0.1973,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6856,0.2203,0.0001,0.0001,0.0001,0.0937
S04E14,4,14,0.0001,0.0001,0.0001,0.0001,0.4481,0.2794,0.0001,0.0001,0.0001,0.2721,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.5957,0.2464,0.0001,0.0001,0.0001,0.1576
S04E15,4,15,0.0001,0.0001,0.0001,0.0001,0.5367,0.2624,0.0001,0.0001,0.0001,0.2005,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.5674,0.2747,0.0001,0.0001,0.0001,0.1576
S04E16,4,16,0.0001,0.0001,0.0001,0.0001,0.7173,0.2822,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6548,0.2779,0.0001,0.0001,0.0001,0.0669
S05E01,5,1,0.0001,0.0001,0.0001,0.0001,0.7104,0.2891,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7227,0.275,0.0001,0.0001,0.0001,0.0019
S05E02,5,2,0.0001,0.0001,0.0001,0.0001,0.7404,0.2538,0.0001,0.0001,0.0001,0.0054,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7226,0.2745,0.0001,0.0001,0.0001,0.0025
S05E03,5,3,0.0001,0.0001,0.0001,0.0001,0.7169,0.2806,0.0001,0.0001,0.0001,0.0021,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6663,0.3017,0.0001,0.0001,0.0001,0.0316
S05E04,5,4,0.0001,0.0001,0.0001,0.0001,0.5416,0.3708,0.0001,0.0001,0.0001,0.0872,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6588,0.311,0.0001,0.0001,0.0001,0.0298
S05E05,5,5,0.0001,0.0001,0.0001,0.0001,0.718,0.2816,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6762,0.2943,0.0001,0.0001,0.0001,0.0291
S05E06,5,6,0.0001,0.0001,0.0001,0.0001,0.7689,0.2306,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.7218,0.2778,0.0001,0.0001,0.0001,0.0001
S05E07,5,7,0.0001,0.0001,0.0001,0.0001,0.6785,0.3211,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0039,0.7381,0.2576,0.0001,0.0001,0.0001,0.0001
