episode_id,season,episode_num,character,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,weighted_degree
S01E10,1,10,Daniel Hardman,1.0,0.0,0.277346,0.09467,41.054
S01E10,1,10,Paula Agard,1.0,0.0,0.277346,0.09467,41.054
S01E10,1,10,Brian Altman,1.0,0.25,0.203298,0.0732,29.858
S01E11,1,11,Harvey Specter,1.0,0.0,0.512616,0.181834,138.394
S01E11,1,11,Louis Litt,1.0,0.0,0.470221,0.158831,119.908
S01E11,1,11,Jessica Pearson,1.0,0.0,0.327151,0.106267,76.845
S01E11,1,11,Jenny Griffith,1.0,0.0,0.294852,0.096466,68.708
S01E11,1,11,Mike Ross,1.0,0.0,0.294852,0.096466,68.708
S01E11,1,11,Rachel Zane,1.0,0.0,0.294852,0.096466,68.708
S01E11,1,11,Donna Paulsen,1.0,0.0,0.230474,0.07792,53.23
S01E11,1,11,Kyle Durant,1.0,0.0,0.230474,0.07792,53.23
S01E11,1,11,Trevor Evans,1.0,0.0,0.166754,0.060344,38.468
S01E11,1,11,Daniel Hardman,1.0,0.819444,0.119298,0.047487,27.615
S01E12,1,12,Harvey Specter,1.0,0.0,0.535096,0.202901,82.265
S01E12,1,12,Louis Litt,1.0,0.0,0.406863,0.137432,54.084
S01E12,1,12,Trevor Evans,1.0,0.0,0.350731,0.117927,45.508
S01E12,1,12,Mike Ross,1.0,0.0,0.326237,0.110039,42.02
S01E12,1,12,Donna Paulsen,1.0,0.0,0.29743,0.101103,38.056
S01E12,1,12,Jenny Griffith,1.0,0.0,0.29743,0.101103,38.056
S01E12,1,12,Rachel Zane,1.0,0.0,0.262654,0.090694,33.422
S01E12,1,12,Jessica Pearson,1.0,0.0,0.218763,0.07798,27.738
S01E12,1,12,Norma,1.0,0.660714,0.15786,0.06082,20.028
S02E01,2,1,Harvey Specter,1.0,0.0,0.456886,0.15394,90.677
S02E01,2,1,Mike Ross,1.0,0.0,0.407821,0.13361,77.721
S02E01,2,1,Daniel Hardman,1.0,0.0,0.385302,0.125396,72.451
S02E01,2,1,Jessica Pearson,1.0,0.0,0.385302,0.125396,72.451
S02E01,2,1,Rachel Zane,1.0,0.0,0.305232,0.099375,55.633
S02E01,2,1,Jenny Griffith,1.0,0.0,0.282745,0.092658,51.263
S02E01,2,1,Louis Litt,1.0,0.0,0.225666,0.076309,40.581
S02E01,2,1,Trevor Evans,1.0,0.0,0.225666,0.076309,40.581
S02E01,2,1,Donna Paulsen,1.0,0.0,0.187097,0.06565,33.584
S02E01,2,1,Robert Zane,1.0,0.75,0.13437,0.051358,24.162
S02E02,2,2,Harvey Specter,1.0,0.0,0.469103,0.167954,103.588
S02E02,2,2,Jessica Pearson,1.0,0.0,0.446102,0.157255,96.471
S02E02,2,2,Daniel Hardman,1.0,0.0,0.439391,0.154335,94.522
S02E02,2,2,Louis Litt,1.0,0.0,0.322519,0.111556,65.663
S02E02,2,2,Mike Ross,1.0,0.0,0.322519,0.111556,65.663
S02E02,2,2,Rachel Zane,1.0,0.0,0.322519,0.111556,65.663
S02E02,2,2,Donna Paulsen,1.0,0.0,0.173689,0.066635,34.831
S02E02,2,2,Norma,1.0,0.0,0.173689,0.066635,34.831
S02E02,2,2,Jenny Griffith,1.0,0.75,0.124415,0.052517,25.044
S02E03,2,3,Harvey Specter,1.0,0.0,0.44896,0.149685,74.617
S02E03,2,3,Daniel Hardman,1.0,0.0,0.420328,0.13773,68.156
S02E03,2,3,Jessica Pearson,1.0,0.0,0.366002,0.118064,57.447
S02E03,2,3,Rachel Zane,1.0,0.0,0.348147,0.112171,54.22
S02E03,2,3,Mike Ross,1.0,0.0,0.32786,0.10572,50.679
S02E03,2,3,Louis Litt,1.0,0.0,0.277224,0.090482,42.278
S02E03,2,3,Harold Gunderson,1.0,0.0,0.244433,0.081094,37.078
S02E03,2,3,Sheila Sazs,1.0,0.0,0.244433,0.081094,37.078
S02E03,2,3,Donna Paulsen,1.0,0.0,0.203261,0.069665,30.724
S02E03,2,3,Norma,1.0,0.75,0.146429,0.054295,22.139
S02E04,2,4,Harvey Specter,1.0,0.0,0.524679,0.197833,104.03
S02E04,2,4,Louis Litt,1.0,0.0,0.472715,0.168134,87.541
S02E04,2,4,Mike Ross,1.0,0.0,0.378277,0.130112,66.043
S02E04,2,4,Daniel Hardman,1.0,0.0,0.329507,0.11365,56.622
S02E04,2,4,Donna Paulsen,1.0,0.0,0.329507,0.11365,56.622
S02E04,2,4,Harold Gunderson,1.0,0.0,0.228229,0.08253,38.65
S02E04,2,4,Jessica Pearson,1.0,0.0,0.228229,0.08253,38.65
S02E04,2,4,Jenny Griffith,1.0,0.357143,0.135705,0.05578,23.047
S02E04,2,4,Thomas Kessler,1.0,0.357143,0.135705,0.05578,23.047
S02E05,2,5,Harvey Specter,1.0,0.0,0.584687,0.241003,100.422
S02E05,2,5,Donna Paulsen,1.0,0.0,0.504157,0.179485,73.973
S02E05,2,5,Jessica Pearson,1.0,0.0,0.347136,0.119196,47.101
S02E05,2,5,Louis Litt,1.0,0.0,0.347136,0.119196,47.101
S02E05,2,5,Daniel Hardman,1.0,0.0,0.214169,0.078648,28.658
S02E05,2,5,Mike Ross,1.0,0.0,0.214169,0.078648,28.658
S02E05,2,5,Harold Gunderson,1.0,0.119048,0.154083,0.061274,20.678
S02E05,2,5,Norma,1.0,0.119048,0.154083,0.061274,20.678
S02E05,2,5,Rachel Zane,1.0,0.119048,0.154083,0.061274,20.678
S02E06,2,6,Louis Litt,1.0,0.0,0.443631,0.147814,71.09
S02E06,2,6,Harvey Specter,1.0,0.0,0.423839,0.139554,66.778
S02E06,2,6,Daniel Hardman,1.0,0.0,0.3518,0.113687,53.168
S02E06,2,6,Donna Paulsen,1.0,0.0,0.331455,0.107151,49.704
S02E06,2,6,Harold Gunderson,1.0,0.0,0.308015,0.099899,45.851
S02E06,2,6,Jessica Pearson,1.0,0.0,0.308015,0.099899,45.851
S02E06,2,6,Mike Ross,1.0,0.0,0.308015,0.099899,45.851
S02E06,2,6,Rachel Zane,1.0,0.0,0.247485,0.082176,36.389
S02E06,2,6,Thomas Kessler,1.0,0.347222,0.148421,0.05496,21.741
S02E06,2,6,Zoe Lawford,1.0,0.347222,0.148421,0.05496,21.741
S02E07,2,7,Harvey Specter,1.0,0.0,0.556609,0.228489,151.719
S02E07,2,7,Donna Paulsen,1.0,0.0,0.405672,0.145516,93.331
S02E07,2,7,Louis Litt,1.0,0.0,0.386703,0.138493,88.27
S02E07,2,7,Jessica Pearson,1.0,0.0,0.364971,0.130765,82.684
S02E07,2,7,Daniel Hardman,1.0,0.0,0.352861,0.126582,79.653
S02E07,2,7,Mike Ross,1.0,0.0,0.252774,0.094324,56.118
S02E07,2,7,Rachel Zane,1.0,0.285714,0.165027,0.067916,36.654
S02E07,2,7,Zoe Lawford,1.0,0.285714,0.165027,0.067916,36.654
S02E08,2,8,Jessica Pearson,1.0,0.0,0.426636,0.126148,121.254
S02E08,2,8,Louis Litt,1.0,0.0,0.397444,0.115617,110.341
S02E08,2,8,Harvey Specter,1.0,0.0,0.388862,0.11272,107.33
S02E08,2,8,Daniel Hardman,1.0,0.0,0.335084,0.096006,89.882
S02E08,2,8,Mike Ross,1.0,0.0,0.289985,0.08333,76.567
S02E08,2,8,Donna Paulsen,1.0,0.0,0.250828,0.072961,65.627
S02E08,2,8,Jenny Griffith,1.0,0.0,0.227009,0.066861,59.171
S02E08,2,8,Zoe Lawford,1.0,0.0,0.227009,0.066861,59.171
S02E08,2,8,Norma,1.0,0.0,0.198956,0.059826,51.707
S02E08,2,8,Rachel Zane,1.0,0.0,0.198956,0.059826,51.707
S02E08,2,8,Trevor Evans,1.0,0.0,0.198956,0.059826,51.707
S02E08,2,8,Dana Scott,1.0,0.323232,0.117693,0.040009,30.585
S02E08,2,8,Robert Zane,1.0,0.323232,0.117693,0.040009,30.585
S02E09,2,9,Louis Litt,1.0,0.0,0.469733,0.161565,111.258
S02E09,2,9,Harvey Specter,1.0,0.0,0.448139,0.151568,103.883
S02E09,2,9,Jessica Pearson,1.0,0.0,0.373124,0.122731,82.403
S02E09,2,9,Daniel Hardman,1.0,0.0,0.361311,0.118708,79.384
S02E09,2,9,Rachel Zane,1.0,0.0,0.319037,0.105027,69.079
S02E09,2,9,Donna Paulsen,1.0,0.0,0.301996,0.099766,65.101
S02E09,2,9,Mike Ross,1.0,0.0,0.236772,0.080547,50.503
S02E09,2,9,Harold Gunderson,1.0,0.0,0.171676,0.062285,36.54
S02E09,2,9,Esther Litt,1.0,0.333333,0.122955,0.048901,26.252
S02E09,2,9,Norma,1.0,0.333333,0.122955,0.048901,26.252
S02E10,2,10,Harvey Specter,1.0,0.0,0.481353,0.188908,116.712
S02E10,2,10,Daniel Hardman,1.0,0.0,0.444431,0.170453,104.233
S02E10,2,10,Louis Litt,1.0,0.0,0.377259,0.14272,85.266
S02E10,2,10,Mike Ross,1.0,0.0,0.367127,0.138929,82.655
S02E10,2,10,Rachel Zane,1.0,0.0,0.331823,0.126251,73.895
S02E10,2,10,Donna Paulsen,1.0,0.0,0.302958,0.11637,67.038
S02E10,2,10,Jessica Pearson,1.0,0.0,0.302958,0.11637,67.038
S02E11,2,11,Harvey Specter,1.0,0.0,0.485592,0.160622,116.829
S02E11,2,11,Mike Ross,1.0,0.0,0.40384,0.125521,89.568
S02E11,2,11,Daniel Hardman,1.0,0.0,0.344309,0.105785,74.039
S02E11,2,11,Louis Litt,1.0,0.0,0.328784,0.101045,70.29
S02E11,2,11,Katrina Bennett,1.0,0.0,0.292238,0.090344,61.801
S02E11,2,11,Jessica Pearson,1.0,0.0,0.245068,0.077242,51.36
S02E11,2,11,Rachel Zane,1.0,0.0,0.245068,0.077242,51.36
S02E11,2,11,Zoe Lawford,1.0,0.0,0.245068,0.077242,51.36
S02E11,2,11,Donna Paulsen,1.0,0.0,0.215146,0.069221,44.943
S02E11,2,11,Sheila Sazs,1.0,0.0,0.215146,0.069221,44.943
S02E11,2,11,Jack Soloff,1.0,0.811111,0.127718,0.046514,26.68
S02E12,2,12,Harvey Specter,1.0,0.0,0.484319,0.168413,165.97
S02E12,2,12,Louis Litt,1.0,0.0,0.425631,0.141711,137.833
S02E12,2,12,Daniel Hardman,1.0,0.0,0.408395,0.135046,130.751
S02E12,2,12,Mike Ross,1.0,0.0,0.346913,0.113633,107.853
S02E12,2,12,Harold Gunderson,1.0,0.0,0.326471,0.107089,100.814
S02E12,2,12,Jessica Pearson,1.0,0.0,0.26006,0.087066,79.163
S02E12,2,12,Donna Paulsen,1.0,0.0,0.223635,0.076635,67.821
S02E12,2,12,Rachel Zane,1.0,0.0,0.17631,0.063433,53.407
S02E12,2,12,Zoe Lawford,1.0,0.0,0.17631,0.063433,53.407
S02E12,2,12,Thomas Kessler,1.0,0.916667,0.103637,0.043539,31.567
S02E13,2,13,Harvey Specter,1.0,0.0,0.427649,0.131211,98.886
S02E13,2,13,Katrina Bennett,1.0,0.0,0.370308,0.110813,82.219
S02E13,2,13,Donna Paulsen,1.0,0.0,0.343718,0.102423,75.32
S02E13,2,13,Robert Zane,1.0,0.0,0.343718,0.102423,75.32
S02E13,2,13,Louis Litt,1.0,0.0,0.328355,0.097788,71.497
S02E13,2,13,Rachel Zane,1.0,0.0,0.328355,0.097788,71.497
S02E13,2,13,Daniel Hardman,1.0,0.0,0.292106,0.087329,62.847
S02E13,2,13,Mike Ross,1.0,0.0,0.215344,0.0667,45.682
S02E13,2,13,Benjamin,1.0,0.0,0.178359,0.057217,37.749
S02E13,2,13,Jessica Pearson,1.0,0.0,0.178359,0.057217,37.749
S02E13,2,13,Anita Gibbs,1.0,0.272727,0.127961,0.044545,27.107
S02E13,2,13,Norma,1.0,0.272727,0.127961,0.044545,27.107
S02E14,2,14,Jessica Pearson,1.0,0.0,0.475381,0.177355,97.16
S02E14,2,14,Daniel Hardman,1.0,0.0,0.431625,0.156895,84.971
S02E14,2,14,Harvey Specter,1.0,0.0,0.431625,0.156895,84.971
S02E14,2,14,Louis Litt,1.0,0.0,0.359363,0.12908,68.208
S02E14,2,14,Mike Ross,1.0,0.0,0.329478,0.118782,61.952
S02E14,2,14,Donna Paulsen,1.0,0.0,0.292669,0.106701,54.58
S02E14,2,14,Rachel Zane,1.0,0.0,0.215246,0.082697,39.836
S02E14,2,14,Robert Zane,1.0,0.619048,0.178129,0.071594,32.976
S02E15,2,15,Harvey Specter,1.0,0.0,0.44863,0.14067,131.267
S02E15,2,15,Jessica Pearson,1.0,0.0,0.390698,0.118474,109.014
S02E15,2,15,Daniel Hardman,1.0,0.0,0.362886,0.109238,99.686
S02E15,2,15,Rachel Zane,1.0,0.0,0.340718,0.102301,92.656
S02E15,2,15,Katrina Bennett,1.0,0.0,0.314707,0.094534,84.76
S02E15,2,15,Dana Scott,1.0,0.0,0.283541,0.085639,75.689
S02E15,2,15,Mike Ross,1.0,0.0,0.265374,0.080619,70.555
