episode_id,season,episode_num,character,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,weighted_degree,mention_volume_share,sentiment_control_raw,pagerank_norm,sentiment_control_norm,influence_score,influence_rank
S01E06,1,6,Louis Litt,1.0,0.0,0.418448,0.138135,52.082,0.172414,0.21808809869375906,0.6264250943925996,0.0,0.302294,2
S01E06,1,6,Rachel Zane,1.0,0.0,0.418448,0.138135,52.082,0.155172,0.21808809869375906,0.6264250943925996,0.0,0.297122,3
S01E06,1,6,Mike Ross,1.0,0.0,0.383719,0.12555,46.869,0.137931,0.21808809869375906,0.5253123325809478,0.0,0.251504,4
S01E06,1,6,Donna Paulsen,1.0,0.0,0.227759,0.077682,26.794,0.051724,0.21808809869375906,0.14072229027660557,0.0,0.071806,5
S01E06,1,6,Daniel Hardman,1.0,0.0,0.227759,0.077682,26.794,0.034483,0.21808809869375906,0.14072229027660557,0.0,0.066634,6
S01E06,1,6,Jessica Pearson,1.0,0.0,0.227759,0.077682,26.794,0.034483,0.21808809869375906,0.14072229027660557,0.0,0.066634,6
S01E06,1,6,Harold Gunderson,1.0,0.083333,0.164688,0.060167,19.361,0.017241,0.21808809869375906,0.0,0.0,0.005172,8
S01E06,1,6,Norma,1.0,0.083333,0.164688,0.060167,19.361,0.017241,0.21808809869375906,0.0,0.0,0.005172,8
S01E06,1,6,Sean Cahill,1.0,0.083333,0.164688,0.060167,19.361,0.017241,0.21808809869375906,0.0,0.0,0.005172,8
S01E07,1,7,Harvey Specter,1.0,0.0,0.513541,0.182984,75.378,0.34375,0.225201062215478,0.9999999919587647,0.0,0.503125,1
S01E07,1,7,Dana Scott,1.0,0.0,0.410595,0.134341,54.094,0.15625,0.225201062215478,0.6088501788463224,0.0,0.290415,2
S01E07,1,7,Kyle Durant,1.0,0.0,0.394386,0.128461,51.486,0.171875,0.225201062215478,0.5615677147486895,0.0,0.27619,3
S01E07,1,7,Mike Ross,1.0,0.0,0.375979,0.122072,48.644,0.140625,0.225201062215478,0.5101922618371628,0.0,0.246264,4
